ca,de
"“A” correspon a Antàrtida.
","„A“ steht für Antarktis.
"
"A representa el substrat que s’oxidarà, y B és l’acceptor de l’hídrid.
","A steht für das Substrat, welches oxidiert wird, während B als Hydridakzeptor dient.
"
"“A Storm in Heaven” es va originar quan la banda va quedar-se quatre setmanes fora de Llandudno, a Gales.
","„A Storm in Heaven“ entstand während eines vierwöchigen Aufenthalts der Band außerhalb von Llandudno, Wales.
"
"A Swingin' Affair!
","A Swingin' Affair!
"
"""A. trichotis” té nombroses amenaces, fet que probablement explica la seva escassa població.
","""A. trichotis"" weist zahlreiche Bedrohungen auf, was höchstwahrscheinlich ihre geringe Populationsgröße erklärt.
"
"A envia una estructura dirigida a B al pont.
","A übermittelt einen an B adressierten Rahmen an die Brücke.
"
"""A"" i ""B"" poden coincidir.
","„A“ und „B“ können sich überschneiden.
"
"""A i E"" significa ""Art i Entreteniment"".
","""A und E"" stehen für ""Arts und Entertainment"".
"
"A. Vinter i Henry Rafter.
","A. Vinter und Henry Rafter.
"
"A. W. McLelan.
","A. W. McLelan.
"
"Va participar a l’Operació Estelada Platejada de Tirana (Albània).
","A war an der Operation Silver Wake in Tirana, Albanien, beteiligt.
"
"Un Weapon Alpha va substituir l'afust de la posició B.
","A Weapon Alpha ersetzte das Geschütz in Stellung B.
"
"Aachen es va convertir en centre curatiu en els temps de Hallstatt.
","Aachen wurde zu Hallstattzeiten erstmals ein Heilzentrum.
"
"Aaliyah cantava les seves cançons en falset.
","Aaliyah sang ihre Lieder mit einem Falsett.
"
"Aalten també té un servei d'autobús cada hora a Ruurlo i a Zelhem.
","Aalten hat auch eine stündliche Busverbindung nach Ruurlo und nach Zelhem.
"
"Ara Aamodt dirigeix un grup de curses d'esquí a Gaustablikk, Noruega, i fa conferències.
","Aamodt leitet jetzt ein Skirennlager in Gaustablikk, Norwegen, und hält öffentliche Reden.
"
"En aquesta comèdia, Aanrud es riu de comportaments afectats i mentals.
","Aanrud macht sich durch seine Comedy über affektiertes und verlogenes Verhalten lustig.
"
"Aarav va tenir una petita participació en la seva pel·lícula, ""Tik Tik Tik"""".
","Aarav hat eine kleine Rolle in seinem Film „Tik Tik Tik“ gespielt.
"
"Aarhus i Kuala Lumpur van ser les ciutats candidates per acollir els campionats.
","Aarhus und Kuala Lumpur waren mögliche Gastgeber der Meisterschaften.
"
"La llengua aari es fa servir a les llars i als mercats locals.
","Aari wird zu Hause und auf den lokalen Märkten gesprochen.
"
"El producte de la Darwin Rugby League, Aaron Barnes, va ser nomenat jugador de l'any dels Vermells.
","Aaron Barnes, ein Produkt der Darwin Rugby League, wurde zum Spieler des Jahres bei den Reds gewählt.
"
"Aaron Bascom i la seva dona, Theodosia Ashley Bascom, també de Chester Center.
","Aaron Bascom und seine Ehefrau Theodosia Ashley Bascom, ebenso von Chester Center.
"
"Aaron Bobick és el degà de l’escola.
","Aaron Bobick ist der Dekan der Schule.
"
"Aaron Cleveland, un antic poeta de Connecticut.
","Aaron Cleveland, einer der ersten Dichter von Connecticut.
"
"Aaron Kaufman i Iliana Nikolic són els seus socis a la operació.
","Aaron Kaufman und Iliana Nikolic sind bei dieser Unternehmung seine Partner.
"
"Tant Aaron com Darrell Evans, van criticar la decisió de rescindir Mathews.
","Aaron und Darrell Evans kritisierten beide die Entscheidung, Mathews zu entlassen.
"
"Aaronovitch viu a Londres amb la seva dona i tres filles.
","Aaronovitch lebt mit seiner Frau und seinen drei Töchtern in London.
"
"Aarschot està situat a la vall d'aquest riu de color marró.
","Aarschot liegt im Tal dieses braunen Flusses.
"
"Aarsman també és novel·lista i dramaturg.
","Aarsman ist auch ein Roman- und Bühnenautor.
"
"Aarti pot ser senzill o extravagant, però sempre implica una flama o la llum.
","Aarti kann einfach bis extravagant sein, erfordert aber immer eine Flamme oder ein Licht.
"
"L'aavakaaya es menja sovint amb arròs i iogurt.
","Aavakaaya wird oft mit Reis und Joghurt gegessen.
"
"A partir d'aquí les vendes addicionals van resultar molt difícils.
","Ab da stellten sich weitere Verkäufe als sehr schwer heraus.
"
"Des d´allà gira cap al nord-est.
","Ab da wendet es sich weiter nach Nordosten.
"
"En aquest moment, Knoxville no era més que una comunitat que posseïa el títol de seu de comtat.
","Ab dann war Knoxville nur eine Gemeinde, die den Titel Kreisstadt trug.
"
"Llavors el carbó de Mardy Colliery es va aconseguir a través de Tower Colliery.
","Ab dann wurde die Kohle von der Mardy Kohlezeche über die Tower Kohlezeche gefördert.
"
"Morrisson toca la corneta d'en John des de que tenia set anys.
","Ab dem Alter von sieben Jahren übte Morrison auf dem Kornett von Johannes.
"
"A partir del tercer àlbum, fins i tot les tendències progressives del metal s'han tornat evidents.
","Ab dem dritten Album sind sogar progressive Metal-Anklänge deutlich geworden.
"
"A partir del prototip tres, les naus es van dissenyar per a ús naval i portaven l'armament previst.
","Ab dem dritten Prototypen wurde das Flugzeug navalisiert und trug die vorgesehene Bewaffnung.
"
"A partir del setembre següent, es va traslladar a aules de classe temporals.
","Ab dem folgenden September bezog sie provisorische Klassenzimmer.
"
"Des d’aquell any, Overloon tenia el poder de regular el poder judicial.
","Ab dem Jahr konnte Overloon die Judikative alleine regulieren.
"
"Des de finals de l'Edat Mitjana, l´assignació de marques l'administrava els governs locals per mitjà d´assajadors autoritzats.
","Ab dem späten Mittelalter wurde das Stempeln von Edelmetall von lokalen Regierungen durch autorisierte Edelmetallprüfer verwaltet.
"
"A partir dels quarts de final, els jocs van adoptar el format de fora de combat.
","Ab dem Viertelfinale wurden die Spiele im K.o.-System ausgetragen.
"
"Des de llavors, va començar el seu paper de llarga trajectòria com a Sandy Cheeks a ""Bob Esponja"".
","Ab dem Zeitpunkt begann sie ihre langjährige Rolle als Sandy Cheeks bei ""SpongeBob SquarePants"".
"
"Després, a partir del segon dia, Hilda pateix vòmits i diarrea.
","Ab dem zweiten Tag leidet Hilda unter Übelkeit und Durchfall.
"
"A partir de la sèrie tres, tota la producció va passar-se a pel·lícula.
","Ab der dritten Folge wurde die gesamte Produktion auf Film umgestellt.
"
"A partir de la tercera temporada, la sèrie també va ser produïda per Bickley-Warren Productions.
","Ab der dritten Staffel wurde die Serie auch von Bickley-Warren Productions produziert.
"
"Els nens podran assistir a classes d'immersió de francès o de parla anglesa a l'escola primària.
","Ab der Grundschule können die Kinder am immersiven Französischunterricht oder an englischsprachigen Kursen teilnehmen.
"
"A la segona temporada, la seva amistat s'havia deteriorat després que la Montag comencés a sortir amb l'Spencer Pratt.
","Ab der zweiten Staffel litt ihre Freundschaft darunter, dass Montag begann, mit Spencer Pratt auszugehen.
"
"A partir de la segona sèrie, la ingenuïtat i la intel·ligència relativa del personatge canvien clarament.
","Ab der zweiten Staffel verschieben sich die relative Intelligenz und Naivität der Figur deutlich.
"
"A partir de la segona temporada, els músics de Paramount van gravar a l’oficina la sintonia.
","Ab der zweiten Staffel wurde die Musik intern von Paramount-Musikern aufgenommen.
"
"D'aquest punt en endavant el riu és navegable.
","Ab diesem Punkt ist der Fluss schiffbar.
"
"Des d’avui hem acabat per sempre.
","Ab diesem Tag bin ich fertig mit dir.
"
"Des d'aquell moment fins a la seva mort, van estar junts.
","Ab diesem Zeitpunkt bis zu ihrem Tode waren sie zusammen.
"
"A partir d’aquell moment, el seu futur era clar.
","Ab diesem Zeitpunkt gab es keine Zweifel über ihre Zukunft mehr.
"
"Des d”aquella data, es va incloure la tauromàquia a les festes.
","Ab diesem Zeitpunkt gehörte der Stierkampf zu den Feierlichkeiten.
"
"Va prendre classes de guitarra durant quatre anys des d'aquest moment.
","Ab diesem Zeitpunkt nahm er vier Jahre lang Gitarrenunterricht.
"
"Això va suposar l’inici d’una disminució constant de la seva influència política.
","Ab diesem Zeitpunkt nahm sein politischer Einfluss immer mehr ab.
"
"Des d'aquell moment, Kimura només era capaç de retardar les accions.
","Ab diesem Zeitpunkt war Kimura nur noch in der Lage, Aktionen zu verzögern.
"
"En aquell moment, els fabricants de televisió ja havien d’incloure la sintonització de tots els canals.
","Ab diesem Zeitpunkt waren die Hersteller von Fernsehgeräten nun verpflichtet, die Geräte auf alle Kanäle abzustimmen.
"
"Des d'aleshores, va canviar de nom a PocketZip.
","Ab diesem Zeitpunkt wurde es in PocketZip umbenannt.
"
"A partir d'aquell moment, Lindsay va esdevenir famós.
","Ab diesem Zeitpunkt wurde Lindsay sehr bekannt.
"
"A partir d'aquí, una de les dues coses passaria.
","Ab diesem Zeitpunkt würde sich eine von zwei Möglichkeiten ereignen.
"
"A partir d’aquest punt el riu es diu Regnitz.
","Ab dieser Stelle heißt der Fluss Regnitz.
"
"Tots els escons eren per a membres únics d'aquella època.
","Ab dieser Zeit waren alle Sitze nur für einzelne Mitglieder.
"
"En un moment donat, va dirigir el seu propi negoci de consultoria, Vixie Enterprises.
","Ab einem gewissen Zeitpunkt betrieb er sein Beratungsunternehmen, Vixie Enterprises.
"
"No obstant això, es preveuen nevades des de final de setembre.
","Ab Ende September kann man jedoch mit Schneefällen rechnen.
"
"Des d´aquí, veiem fotos dels membres de la família disfuncional de Julien.
","Ab hier sehen wir Schnappschüsse der Mitglieder von Juliens disfunktionaler Familie.
"
"Des d’aquí, el riu està ben definit, mentre que altres afluents s’hi uneixen riu avall.
","Ab hier verläuft der Fluss in klarer Linie, während weiter flussabwärts Nebenflüsse in diesen Fluss münden.
"
"Tot és «Bow Wow», no «Lil’ Bow Wow».
","Ab jetzt einfach nur „Bow Wow“, nicht mehr „Lil“ (kleiner) Bow Wow.
"
"No obstant, a partir de març, la ciutat va caure sota el control de les forces lleialistes.
","Ab März hatten jedoch Loyalisten die Kontrolle über die Stadt.
"
"Que li tallin el cap! va dir sense ni tan sols mirar al voltant.
","„Ab mit seinem Kopf!“ sagte sie, ohne sich auch nur umzusehen.
"
"Que li tallin el cap!
","Ab mit seinem Kopf!
"
"Els ocells abandonen l’allotjament d’hivern per reproduir-se a partir de mitjans de febrer.
","Ab Mitte Februar verlassen die Vögel zum Brüten ihr Winterquartier.
"
"A partir de demà, unim les nostres forces... per aconseguir la reunificació del nostre país.
","Ab morgen bündeln wir unsere Kräfte, um die Wiedervereinigung unseres Landes zu erlangen.
"
"Demà em diran Bruce Baldwin.
","Ab morgen werden sie mich Bruce Baldwin nennen.
"
"A Noel, la carretera deixa de ser bidireccional i continua cap a l’est.
","Ab Noel führt der Highway einspurig weiter nach Osten.
"
"En arribar l’octubre, només pensava en Nadal.
","Ab Oktober dachte sie nur noch an Weihnachten.
"
"A partir de l'octubre d’aquell any, Sir John va ser elegit vicerector de la Universitat de Bristol.
","Ab Oktober des Jahres wurde Sir John zum Vizekanzler der University of Bristol gewählt.
"
"Així, ""ab ovo"" també es pot utilitzar per indicar una cosa completa o total.
","„ab ovo“ kann daher auch eine vollständige oder ganze Sache bezeichnen.
"
"Des dels quatre anys va viure a Los Angeles.
","Ab seinem vierten Lebensjahr wuchs er in Los Angeles auf.
"
"Arriba setembre, i es torna a presentar una caiguda gradual del fred.
","Ab September beginnt wieder eine schrittweise Herbstkälte.
"
"A partir de setembre la van contractar com a escorta dels ardus Arctic Convoys.
","Ab September wurde sie als Geleitschiff für die beschwerlichen Arctic Convoys eingesetzt.
"
"De vegades em preguntava d'on havia tret Sir Archibald el seu estil.
","Ab und zu fragte ich mich, woher Sir Archibald seinen Stil hat.
"
"Les coses succeïen ocasionalment, fins i tot a aquesta metròpoli oblidada per Déu.
","Ab und zu geschah einmal etwas, sogar in dieser gottvergessenen Großstadt.
"
"Van mantenir la comunicació sempre.
","Ab und zu sprachen sie miteinander.
"
"De vegades també porta una samarreta blanca de l'equip.
","Ab und zu trägt er auch ein weißes Team-T-Shirt.
"
"Quedo amb la meva exdona de tant en tant.
","Ab und zu treffe ich mich mit meiner Ex-Frau.
"
"De tant en tant canvien les posicions, sempre ballant però mirant cap a l’interior.
","Ab und zu wechseln sie tanzend die ganze Zeit über ihre Position, allerdings nach innen gewandt.
"
"De tant en tant, apareixen crítiques d'un, o tots, els microformats.
","Ab und zu wird eins oder werden alle Mikroformate kritisiert.
"
"A vegades, la vora del vestit es decorava amb peces de peülla de búfal.
","Ab und zu wurde der Kleidsaum mit Stücken von Büffelhufen verziert.
"
"La carrera militar d’Abacha es distingeix per una sèrie de cops d’estat exitosos.
","Abachas militärische Karriere ist durch eine Serie erfolgreicher Staatsstreiche gekennzeichnet.
"
"Abalak està ubicada a l’extrem nord de Sahel, tocant el desert del Sàhara.
","Abalak liegt in der Nähe des nördlichen Endes der Sahelzone und grenzt an die Sahara-Wüste.
"
"Abamectin és un insecticida, així com un acaricida i un nematicida.
","Abamectin ist sowohl ein Insektizid als auch ein Akarizid und ein Nematizid.
"
"Abarrach era una ombra pàl·lida i moribunda.
","Abarrach war ein blasser, sterbender Schatten.
"
"Abas pertanyia a la dinastia reial Bagratuní.
","Abas gehörte der königlichen Bagratuni-Dynastie an.
"
"Abay va superar la depressió mentre escrivia noves cançons que es convertien en poesia.
","Abay überwand seine Depressionen, als er neue poetische Lieder schrieb.
"
"Abaya també es refereix a diferents peces en diferents països.
","Abaya bezieht sich auch auf verschiedene Kleidungsstücke in verschiedenen Ländern.
"
"La família d’Abbandando va immigrar d’Avellino, Itàlia, a Nova York.
","Abbandandandos Familie immigrierte von Avellino, Italien, nach New York.
"
"Es va rebutjar una petició d'Abbas de guanyar la sala.
","Abbas Bitte um Redeerlaubnis wurde abgelehnt.
"
"Els bars d'Abba-Zaba es poden trobar gairebé exclusivament a l'oest de les muntanyes Rocalloses.
","Abba-Zaba-Riegel sind fast ausschließlich westlich der Rockies erhältlich.
"
"Abbershaw el va deixar anar amb la condició que ingressés al monestir.
","Abbershaw lässt ihn gehen, allerdings nur unter der Bedingung, dass er in ein Kloster eintritt.
"
"El comtat d'Abbeville es troba en la conca del riu Savannah i en la del riu Saluda.
","Abbeville County liegt im Becken des Savannah River und im Becken des Saluda River.
"
"Els centres comercials Abbey també tenen presència a la ciutat.
","Abbey Business Centres haben ebenfalls einen Sitz in der Stadt.
"
"La casa de camp Abbey Dore Court té uns amplis jardins que estan oberts al públic a la primavera i l'estiu.
","Abbey Dore Court verfügt über große Gärten, die im Frühjahr und Sommer für die Öffentlichkeit zugänglich sind.
"
"Abbeyleix és un dels pobles d’urbanització planificada més vells d’Irlanda.
","Abbeyleix ist eine der ältesten Planstädte Irlands.
"
"La figura B mostra el flux provocat només per l'inductor.
","Abbildung B. zeigt den allein durch die Feldwicklung verursachten Fluss.
"
"Abbot porta aquest nom en honor a Charles Greeley Abbot.
","Abbot ist nach dem amerikanischen Astrophysiker Charles Greeley Abbot benannt.
"
"L'abat Kinney i el guardaboscos Theodore Lukens van ser portaveus clau de la lluita.
","Abbot Kinney und Förster Theodore Lukens waren entscheidende Wortführer für das Bestreben.
"
"Abbots Ripton té una botiga, un garatge i una oficina de correus.
","Abbots Ripton hat einen Laden, eine Autowerkstatt und ein Postamt.
"
"A Harvarard Abbott va esdevenir el professor d’Història de Francis Lee Higginson.
","Abbott Francis Lee Higginson wurde in Harvarard Professor für Geschichte.
"
"Abbott té una visió molt favorable envers el seu tema.
","Abbott hat grundsätzlich eine positive Haltung gegenüber seinem Subjekt.
"
"Els automòbils construïts a Cleveland s'anomenaren Abbott.
","Abbott hießen die in Cleveland gebauten Autos.
"
"Després Abbott i Kinison van trencar la seva relació.
","Abbott und Kinison beendeten später ihre Beziehung.
"
"Abbott va néixer a Lennoxville, Quebec.
","Abbott wurde in Lennoxville, Quebec, geboren.
"
"El primer àlbum d’Abbott amb el grup va ser «Miaow» aquell mateix any.
","Abbotts erstes Album mit der Band war „Miaow“ im selben Jahr.
"
"Avortar, tornar a intentar, fallar?
","Abbrechen, wiederholen, scheitern?
"
"Abby ha demostrat tenir habilitats com a forense tradicional, forense informàtic i pirateria informàtica.
","Abby hat gezeigt, dass sie Talent in der traditionellen Forensik, Computerforensik und im Hacking hat.
"
"Tot i això, Abby té una altra visió del seu passat com a Seraphia i recorda la demanda de Cartaphilus.
","Abby hat jedoch eine andere Vision von ihrer Vergangenheit als Seraphia und erinnert sich an Cartaphilus Forderung.
"
"L”Abby està ara embarassada d'una nena.
","Abby ist nun schwanger mit einem Mädchen.
"
"El fill d'Abby, en Daniel, i el seu amic, Gus, també van de vacances amb la família de Caitlin.
","Abbys Sohn Daniel und sein Freund Gus machen ebenfalls mit Caitlins Familie Urlaub.
"
"L'Abdali està actualment desplegat i en producció.
","Abdali befindet sich derzeit im Einsatz und in der Produktion.
"
"L'Abdel-Rahim va morir a Frankfurt, Alemanya.
","Abdel-Rahim starb in Frankfurt, Deutschland.
"
"Les obres completes d'Abduh han estat recopilades i publicades en cinc volums per Muhammad Imarah.
","Abduh seine gesammelten Arbeiten wurden in fünf Bänden durch Muhammad Imarah zusammengefasst und veröffentlicht.
"
"L’Abdul és un emprenedor molt treballador d’origen humil.
","Abdul ist ein hart arbeitender Unternehmer aus bescheidenen Verhältnissen.
"
"La preferida d’Abdullah Kamel era una pizza de formatge de Pizza Hut.
","Abdullah Kamels Favorit war eine Käsepizza vom Pizza Hut des Stützpunkts.
"
"Més tard, Abdullah va anunciar que es crearia un organisme independent per investigar l'escàndol.
","Abdullah kündigte später an, dass ein unabhängiges Gremium zur Untersuchung des Skandals eingerichtet werden soll.
"
"El paper d'Abdullah en aquesta guerra va esdevenir important.
","Abdullahs Rolle in diesem Krieg gewann an Bedeutung.
"
"La presència vocal única d'Abdul pot escoltar-se a la pista On the Prowl.
","Abduls alleiniger stimmlicher Auftritt ist auf dem Track On the Prowl zu hören.
"
"Abdur Rahman també va parar atenció al progrés tecnològic.
","Abdur Rahman achtete auch auf den technologischen Fortschritt.
"
"Abe Cunningham va néixer a Long Beach, Califòrnia.
","Abe Cunningham wurde in Long Beach, Kalifornien geboren.
"
"Des de llavors, Abe Dyk ha assumit el càrrec de director de campanya.
","Abe Dyk hat inzwischen die Leitung der Kampagne übernommen.
"
"Abe Saperstein es va incorporar a l'equip com a director i promotor.
","Abe Saperstein wurde zum Manager und Förderer des Teams.
"
"Es va citar a Abe dient “És una ciutat a primera línia de mar”.
","Abe wurde mit folgenden Worten zitiert: Es ist eine Hafenstadt.
"
"Abebe Bikila va guanyar la primera medalla olímpica del país en guanyar la marató masculina.
","Abebe Bikila holte die allererste Olympische Medaille für das Land, indem er den Marathon der Männer gewann.
"
"AbeBooks actualment només té un acord com a revenedor d´Amazon.com.
","AbeBooks hat zurzeit nur eine Reseller-Vereinbarung mit Amazon.com.
"
"Abeken va aprendre arqueologia amb el mateix Eduard Gerhard.
","Abeken lernte Archäologie unter Eduard Gerhard selbst.
"
"Abel estudià els vertebrats fòssils principalment.
","Abel studierte hauptsächlich fossile Wirbeltiere.
"
"Abel va ser vicepresident del gremi d’actors de cinema i televisió.
","Abel war ein Vizepräsident des Screen Actors' Guild.
"
